measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,22,All ages,459,Malignant skin melanoma,1,Number,1981,13201.11548673264,14190.604114348635,11884.268261612555
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,1,Number,1981,11859.096242973468,13179.14045300088,10685.023285034495
1,Deaths,1,Global,3,Both,22,All ages,459,Malignant skin melanoma,1,Number,1981,25060.21172970608,26606.13782032962,22954.00062093627
1,Deaths,1,Global,1,Male,22,All ages,462,Non-melanoma skin cancer,1,Number,1981,9619.966424970877,10933.414395147965,8459.566939566817
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,1,Number,1981,8181.317814598984,9327.802157791124,7429.57795738833
1,Deaths,1,Global,3,Both,22,All ages,462,Non-melanoma skin cancer,1,Number,1981,17801.284239569883,19661.909280330576,16312.439876718912
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,1,Number,1981,81486.10257234226,90231.30681240636,75251.48547144407
1,Deaths,1,Global,3,Both,22,All ages,465,Ovarian cancer,1,Number,1981,81486.10257234226,90231.30681240636,75251.48547144407
1,Deaths,1,Global,1,Male,22,All ages,468,Testicular cancer,1,Number,1981,7039.058656296746,7593.091096296248,6596.760228944487
1,Deaths,1,Global,3,Both,22,All ages,468,Testicular cancer,1,Number,1981,7039.058656296746,7593.091096296248,6596.760228944487
1,Deaths,1,Global,1,Male,22,All ages,471,Kidney cancer,1,Number,1981,36390.870953073056,38311.90576307563,34786.77188965638
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,1,Number,1981,23447.610223004835,25281.95761072235,21715.84390788808
1,Deaths,1,Global,3,Both,22,All ages,471,Kidney cancer,1,Number,1981,59838.48117607792,61996.440234867616,57111.060458734035
1,Deaths,1,Global,1,Male,22,All ages,474,Bladder cancer,1,Number,1981,72820.37072109975,79375.8202660448,64684.2561416136
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,1,Number,1981,27735.13347457664,30232.139203662042,24960.294751541576
1,Deaths,1,Global,3,Both,22,All ages,474,Bladder cancer,1,Number,1981,100555.5041956766,107127.20634156652,92417.88853743665
1,Deaths,1,Global,1,Male,22,All ages,477,Brain and central nervous system cancer,1,Number,1981,60189.366412858624,76180.90511818425,45232.39862520036
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,1,Number,1981,48835.67942504964,63167.21774743274,41053.42088418509
1,Deaths,1,Global,3,Both,22,All ages,477,Brain and central nervous system cancer,1,Number,1981,109025.04583790833,129287.08105648792,91211.44709164849
1,Deaths,1,Global,1,Male,22,All ages,480,Thyroid cancer,1,Number,1981,5913.277752904671,6531.139520560064,5526.944485251586
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,1,Number,1981,12317.243161243432,14227.674855989004,11182.392119378077
1,Deaths,1,Global,3,Both,22,All ages,480,Thyroid cancer,1,Number,1981,18230.520914148095,20134.589950790254,16949.88636653726
1,Deaths,1,Global,1,Male,22,All ages,483,Mesothelioma,1,Number,1981,9279.12687164842,10840.7140979096,8076.357506465866
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,1,Number,1981,3485.3609776282683,4204.508556662579,3150.0537659948186
1,Deaths,1,Global,3,Both,22,All ages,483,Mesothelioma,1,Number,1981,12764.487849276695,14380.574934074462,11308.72223951435
1,Deaths,1,Global,1,Male,22,All ages,484,Hodgkin lymphoma,1,Number,1981,17579.743952619578,20465.264900856684,12400.657802508595
1,Deaths,1,Global,2,Female,22,All ages,484,Hodgkin lymphoma,1,Number,1981,11105.524141493022,13141.297647000778,7981.266188183785
1,Deaths,1,Global,3,Both,22,All ages,484,Hodgkin lymphoma,1,Number,1981,28685.268094112576,32911.574698535835,21499.501909771927
1,Deaths,1,Global,1,Male,22,All ages,485,Non-Hodgkin lymphoma,1,Number,1981,66754.25403221085,76707.01899669252,59199.01105822743
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,1,Number,1981,44580.676239977605,51003.47225631357,39967.866951262986
1,Deaths,1,Global,3,Both,22,All ages,485,Non-Hodgkin lymphoma,1,Number,1981,111334.93027218849,121881.12069445715,102250.57163424887
1,Deaths,1,Global,1,Male,22,All ages,486,Multiple myeloma,1,Number,1981,17788.99220932241,19919.55276106058,16186.675716466802
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,1,Number,1981,17428.23224042188,19608.62990026117,15931.785158717203
1,Deaths,1,Global,3,Both,22,All ages,486,Multiple myeloma,1,Number,1981,35217.22444974431,38191.554386412994,32527.566113652374
1,Deaths,1,Global,1,Male,22,All ages,487,Leukemia,1,Number,1981,118736.95930251898,146363.57328241284,92622.82319049393
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,1,Number,1981,104244.916761539,123308.81584330663,81998.5456585554
1,Deaths,1,Global,3,Both,22,All ages,487,Leukemia,1,Number,1981,222981.8760640583,254571.52289348538,192636.77657816582
1,Deaths,1,Global,1,Male,22,All ages,489,Other malignant neoplasms,1,Number,1981,58778.38221482742,65859.64834164441,50654.21672996591
1,Deaths,1,Global,2,Female,22,All ages,489,Other malignant neoplasms,1,Number,1981,63718.75882463624,74981.9327605351,51365.15241300385
1,Deaths,1,Global,3,Both,22,All ages,489,Other malignant neoplasms,1,Number,1981,122497.14103946374,136883.05083502718,107117.91394780065
1,Deaths,1,Global,1,Male,22,All ages,490,Other neoplasms,1,Number,1981,7732.008642504544,11828.794553181748,6077.726596383996
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,1,Number,1981,6499.700746655092,8754.73457998646,5140.532548651704
1,Deaths,1,Global,3,Both,22,All ages,490,Other neoplasms,1,Number,1981,14231.70938915964,20066.585642156682,11366.457881675742
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,1,Number,1982,208337.4376223042,239376.8757620731,180939.50888800938
